Unnamed: 0,Administration,NAME,Type,titre,titre_encoded,IREL_url,Coordonnees,latitude,longitude,Administration_bis,Lieu-dit_bis
21,Côte d\'Ivoire,Abidjan ,,Abidjan (Côte d\Ivoire),Abidjan%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abidjan%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
22,Algérie,Abid ,,Abid (Algérie),Abid%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abid%20%28Alg%C3%A9rie%29,36.5435 3.8679,36.5435,3.8679,,
23,Inde,Abishegapakkam ,,Abishegapakkam (Inde),Abishegapakkam%20%28Inde%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abishegapakkam%20%28Inde%29,11.8631 79.7754,11.8631,79.7754,,
24,Algérie,Abi Youcef ,,Abi Youcef (Algérie),Abi%20Youcef%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abi%20Youcef%20%28Alg%C3%A9rie%29,36.5390 4.3420,36.5390,4.3420,,
25,Liban,Ablah ,,Ablah (Liban),Ablah%20%28Liban%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ablah%20%28Liban%29,33.8708 35.9681,33.8708,35.9681,,
26,Côte d\'Ivoire,Abobo ,,Abobo (Côte d\Ivoire),Abobo%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abobo%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
27,Côte d\'Ivoire,Aboisso Comoé ,,Aboisso Comoé (Côte d\Ivoire),Aboisso%20Como%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aboisso%20Como%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
28,Côte d\'Ivoire,Aboisso,Cercle ,AboissoCercle (Côte d\Ivoire),AboissoCercle%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AboissoCercle%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
29,Côte d\'Ivoire,Aboisso ,,Aboisso (Côte d\Ivoire),Aboisso%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aboisso%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
30,Bénin,Abomey-Calavi ,,Abomey-Calavi (Bénin),Abomey-Calavi%20%28B%C3%A9nin%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abomey-Calavi%20%28B%C3%A9nin%29,6.4495 2.3420,6.4495,2.3420,,
31,Bénin,Abomey/Zagnanado,Voie ferrée ,Abomey/ZagnanadoVoie ferrée (Bénin),Abomey/ZagnanadoVoie%20ferr%C3%A9e%20%28B%C3%A9nin%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abomey/ZagnanadoVoie%20ferr%C3%A9e%20%28B%C3%A9nin%29,,,,,
32,Bénin,Abomey ,,Abomey (Bénin),Abomey%20%28B%C3%A9nin%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abomey%20%28B%C3%A9nin%29,7.1812 1.9921,7.1812,1.9921,,
33,Bénin,Abomey,Cercle ,AbomeyCercle (Bénin),AbomeyCercle%20%28B%C3%A9nin%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AbomeyCercle%20%28B%C3%A9nin%29,,,,,
34,Cameroun,Abong-M’Bang,Circonscription ,Abong-M’BangCirconscription (Cameroun),Abong-M%E2%80%99BangCirconscription%20%28Cameroun%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abong-M%E2%80%99BangCirconscription%20%28Cameroun%29,,,,,
35,Cameroun,Abong M\'Bang ,,Abong M\Bang (Cameroun),Abong%20M%5CBang%20%28Cameroun%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abong%20M%5CBang%20%28Cameroun%29,,,,,
36,Tchad,Aboudeïa,Subdivision ,AboudeïaSubdivision (Tchad),Aboude%C3%AFaSubdivision%20%28Tchad%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aboude%C3%AFaSubdivision%20%28Tchad%29,,,,,
37,Algérie,Aboukir ,,Aboukir (Algérie),Aboukir%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aboukir%20%28Alg%C3%A9rie%29,35.8380 0.1684,35.8380,0.1684,,
38,Algérie,Aboutville ,,Aboutville (Algérie),Aboutville%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aboutville%20%28Alg%C3%A9rie%29,36.3395 3.8077,36.3395,3.8077,,
39,Algérie,Abou El Hassan ,,Abou El Hassan (Algérie),Abou%20El%20Hassan%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abou%20El%20Hassan%20%28Alg%C3%A9rie%29,36.4166 1.1962,36.4166,1.1962,,
40,Côte d\'Ivoire,Abréby ,,Abréby (Côte d\Ivoire),Abr%C3%A9by%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abr%C3%A9by%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
41,"Saint-Domingue, Île de",Abricots ,,Abricots (Saint-DomingueÎle de),Abricots%20%28Saint-Domingue%C3%8Ele%20de%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abricots%20%28Saint-Domingue%C3%8Ele%20de%29,,,,,
42,Éthiopie,Abyssinie,Région géographique ,AbyssinieRégion géographique (Éthiopie),AbyssinieR%C3%A9gion%20g%C3%A9ographique%20%28%C3%89thiopie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AbyssinieR%C3%A9gion%20g%C3%A9ographique%20%28%C3%89thiopie%29,,,,,
43,Côte d\'Ivoire,Aby ,,Aby (Côte d\Ivoire),Aby%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aby%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
44,Côte d\'Ivoire,Aby,Lagune ,AbyLagune (Côte d\Ivoire),AbyLagune%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AbyLagune%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
45,Charente ; France,Abzac ,,Abzac (Charente ; France),Abzac%20%28Charente%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abzac%20%28Charente%20%3B%20France%29,46.1039 0.7050,46.1039,0.7050,,
46,,Acadie',,Acadie,Acadie,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Acadie,,,,,
47,Mexique,Acapulco ,,Acapulco (Mexique),Acapulco%20%28Mexique%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Acapulco%20%28Mexique%29,16.8689 -99.9014,16.8689,-99.9014,,
48,Guyane française,Acarouany,Cours d\'eau ,AcarouanyCours d\eau (Guyane française),AcarouanyCours%20d%5Ceau%20%28Guyane%20fran%C3%A7aise%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AcarouanyCours%20d%5Ceau%20%28Guyane%20fran%C3%A7aise%29,,,,,
49,Guyane française,Acarouany ,,Acarouany (Guyane française),Acarouany%20%28Guyane%20fran%C3%A7aise%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Acarouany%20%28Guyane%20fran%C3%A7aise%29,5.5922 -53.8123,5.5922,-53.8123,,
50,Ghana,Accra ,,Accra (Ghana),Accra%20%28Ghana%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Accra%20%28Ghana%29,5.5548 -0.2000,5.5548,-0.2000,,
51,"Sumatra, Île de",Aceh ,,Aceh (SumatraÎle de),Aceh%20%28Sumatra%C3%8Ele%20de%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aceh%20%28Sumatra%C3%8Ele%20de%29,,,,,
52,"Sumatra, Île de",Achem ,,Achem (SumatraÎle de),Achem%20%28Sumatra%C3%8Ele%20de%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Achem%20%28Sumatra%C3%8Ele%20de%29,,,,,
53,Moselle ; France,Achen ,,Achen (Moselle ; France),Achen%20%28Moselle%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Achen%20%28Moselle%20%3B%20France%29,49.0434 7.1821,49.0434,7.1821,,
54,Accra ; Ghana,Achimota,Quartier ,AchimotaQuartier (Accra ; Ghana),AchimotaQuartier%20%28Accra%C2%A0%3B%20Ghana%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AchimotaQuartier%20%28Accra%C2%A0%3B%20Ghana%29,,,,,
55,Allemagne,Achkarren ,,Achkarren (Allemagne),Achkarren%20%28Allemagne%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Achkarren%20%28Allemagne%29,48.0675 7.6252,48.0675,7.6252,,
56,Algérie,Achouba ,,Achouba (Algérie),Achouba%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Achouba%20%28Alg%C3%A9rie%29,36.8511 4.3804,36.8511,4.3804,,
57,,Açores,Archipel des',AçoresArchipel des,A%C3%A7oresArchipel%20des,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%A7oresArchipel%20des,,,,,
58,"Saint-Domingue, Île de",Acul-du-Nord ,,Acul-du-Nord (Saint-DomingueÎle de),Acul-du-Nord%20%28Saint-Domingue%C3%8Ele%20de%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Acul-du-Nord%20%28Saint-Domingue%C3%8Ele%20de%29,,,,,
59,Djibouti,Adaïli Dora ,,Adaïli Dora (Djibouti),Ada%C3%AFli%20Dora%20%28Djibouti%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ada%C3%AFli%20Dora%20%28Djibouti%29,11.2167 42.0333,11.2167,42.0333,,
60,Djibouti,Adaïli ,,Adaïli (Djibouti),Ada%C3%AFli%20%28Djibouti%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ada%C3%AFli%20%28Djibouti%29,11.2167 42.0333,11.2167,42.0333,,
61,Cameroun,Adamaoua,Circonscription ,AdamaouaCirconscription (Cameroun),AdamaouaCirconscription%20%28Cameroun%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AdamaouaCirconscription%20%28Cameroun%29,,,,,
62,Éthiopie,Adama ,,Adama (Éthiopie),Adama%20%28%C3%89thiopie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adama%20%28%C3%89thiopie%29,8.5400 39.2680,8.5400,39.2680,,
63,Niger,Adar,Région géographique ,AdarRégion géographique (Niger),AdarR%C3%A9gion%20g%C3%A9ographique%20%28Niger%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AdarR%C3%A9gion%20g%C3%A9ographique%20%28Niger%29,,,,,
64,Algérie,Addarat,Cours d\'eau ,AddaratCours d\eau (Algérie),AddaratCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AddaratCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,
65,Éthiopie,Addis Abeba/Aouache,Voie ferrée ,Addis Abeba/AouacheVoie ferrée (Éthiopie),Addis%20Abeba/AouacheVoie%20ferr%C3%A9e%20%28%C3%89thiopie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Addis%20Abeba/AouacheVoie%20ferr%C3%A9e%20%28%C3%89thiopie%29,,,,,
66,Éthiopie,Addis Abeba/Dire Daoua,Voie ferrée ,Addis Abeba/Dire DaouaVoie ferrée (Éthiopie),Addis%20Abeba/Dire%20DaouaVoie%20ferr%C3%A9e%20%28%C3%89thiopie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Addis%20Abeba/Dire%20DaouaVoie%20ferr%C3%A9e%20%28%C3%89thiopie%29,,,,,
67,Éthiopie/Djibouti,Addis Abeba/Djibouti,Voie ferrée ,Addis Abeba/DjiboutiVoie ferrée (Éthiopie/Djibouti),Addis%20Abeba/DjiboutiVoie%20ferr%C3%A9e%20%28%C3%89thiopie/Djibouti%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Addis%20Abeba/DjiboutiVoie%20ferr%C3%A9e%20%28%C3%89thiopie/Djibouti%29,,,,,
68,Éthiopie/Érythrée,Addis Abeba/Massaouah,Voie ferrée ,Addis Abeba/MassaouahVoie ferrée (Éthiopie/Érythrée),Addis%20Abeba/MassaouahVoie%20ferr%C3%A9e%20%28%C3%89thiopie/%C3%89rythr%C3%A9e%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Addis%20Abeba/MassaouahVoie%20ferr%C3%A9e%20%28%C3%89thiopie/%C3%89rythr%C3%A9e%29,,,,,
69,Éthiopie,Addis Abeba ,,Addis Abeba (Éthiopie),Addis%20Abeba%20%28%C3%89thiopie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Addis%20Abeba%20%28%C3%89thiopie%29,9.0243 38.7492,9.0243,38.7492,,
70,Éthiopie/Djibouti,Addis Harrar/Djibouti,Voie ferrée ,Addis Harrar/DjiboutiVoie ferrée (Éthiopie/Djibouti),Addis%20Harrar/DjiboutiVoie%20ferr%C3%A9e%20%28%C3%89thiopie/Djibouti%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Addis%20Harrar/DjiboutiVoie%20ferr%C3%A9e%20%28%C3%89thiopie/Djibouti%29,,,,,
71,Algérie,Adekar Kebouche ,,Adekar Kebouche (Algérie),Adekar%20Kebouche%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adekar%20Kebouche%20%28Alg%C3%A9rie%29,36.6931 4.6715,36.6931,4.6715,,
72,Moselle ; France,Adelange ,,Adelange (Moselle ; France),Adelange%20%28Moselle%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adelange%20%28Moselle%20%3B%20France%29,49.0058 6.6128,49.0058,6.6128,,
73,Haute-Saône ; France,Adelans-et-le-Val-de-Bithaine ,,Adelans-et-le-Val-de-Bithaine (Haute-Saône ; France),Adelans-et-le-Val-de-Bithaine%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adelans-et-le-Val-de-Bithaine%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,47.7088 6.3976,47.7088,6.3976,,
74,Haute-Saône ; France,Adelans ,,Adelans (Haute-Saône ; France),Adelans%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adelans%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,47.7088 6.3976,47.7088,6.3976,,
75,Algérie,Adelia ,,Adelia (Algérie),Adelia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adelia%20%28Alg%C3%A9rie%29,36.2795 2.2664,36.2795,2.2664,,
76,Yémen,Aden ,,Aden (Yémen),Aden%20%28Y%C3%A9men%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aden%20%28Y%C3%A9men%29,12.7880 45.0195,12.7880,45.0195,,
77,Niger,Aderbissinat ,,Aderbissinat (Niger),Aderbissinat%20%28Niger%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aderbissinat%20%28Niger%29,15.6275 7.8945,15.6275,7.8945,,
78,Niger,Ader,Région géographique ,AderRégion géographique (Niger),AderR%C3%A9gion%20g%C3%A9ographique%20%28Niger%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AderR%C3%A9gion%20g%C3%A9ographique%20%28Niger%29,,,,,
79,Côte d\'Ivoire,Adessé ,,Adessé (Côte d\Ivoire),Adess%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adess%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
80,Côte d\'Ivoire,Adfaé ,,Adfaé (Côte d\Ivoire),Adfa%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adfa%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
81,Côte d\'Ivoire,Adiaké ,,Adiaké (Côte d\Ivoire),Adiak%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adiak%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
82,Côte d\'Ivoire,Adioé ,,Adioé (Côte d\Ivoire),Adio%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adio%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
83,Côte d\'Ivoire,Adiué ,,Adiué (Côte d\Ivoire),Adiu%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adiu%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
84,Côte d\'Ivoire,Adjacouty ,,Adjacouty (Côte d\Ivoire),Adjacouty%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjacouty%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
85,Côte d\'Ivoire,Adjamé ,,Adjamé (Côte d\Ivoire),Adjam%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjam%C3%A9%20%28C%C3%B4te%20d%5CIvoire%29,,,,,
86,Bénin,Adjanté ,,Adjanté (Bénin),Adjant%C3%A9%20%28B%C3%A9nin%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjant%C3%A9%20%28B%C3%A9nin%29,8.4010 1.8990,8.4010,1.8990,,
87,Bénin,Adjarra ,,Adjarra (Bénin),Adjarra%20%28B%C3%A9nin%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjarra%20%28B%C3%A9nin%29,6.5260 2.6640,6.5260,2.6640,,
88,Algérie,Adjeroud ,,Adjeroud (Algérie),Adjeroud%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjeroud%20%28Alg%C3%A9rie%29,35.0658 -2.1950,35.0658,-2.1950,,
89,Algérie,Adjiba ,,Adjiba (Algérie),Adjiba%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjiba%20%28Alg%C3%A9rie%29,36.3761 4.1612,36.3761,4.1612,,
90,Algérie,Adjioun ,,Adjioun (Algérie),Adjioun%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjioun%20%28Alg%C3%A9rie%29,36.4663 5.2106,36.4663,5.2106,,
91,Bénin,Adjohon ,,Adjohon (Bénin),Adjohon%20%28B%C3%A9nin%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adjohon%20%28B%C3%A9nin%29,6.7138 2.4804,6.7138,2.4804,,
92,Gabon,Adolina Longo ,,Adolina Longo (Gabon),Adolina%20Longo%20%28Gabon%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Adolina%20Longo%20%28Gabon%29,-0.7030 10.2325,-0.7030,10.2325,,
93,Gabon,Adoumas,Circonscription ,AdoumasCirconscription (Gabon),AdoumasCirconscription%20%28Gabon%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AdoumasCirconscription%20%28Gabon%29,,,,,
