,Administration,Lieu-dit,Type,Inutile
149,Bénin,Agomé Glosou ,,
150,Togo,Agomé Klossou ,,
151,Bénin,Agomé Séva ,,
152,Bénin,Agonlin ,,
153,Hautes-Pyrénées ; France,Agos-Vidalos ,,
154,Bénin,Agouagon ,,
155,Bénin,Agoué ,,
156,Gabon,Agouma,Poste ,
157,Togo,Agou Gadzépé ,,
158,Togo,Agou Nyongbo ,,
159,Espagne,Agramunt ,,
160,Algérie,Agrioun,Cours d\eau ,
161,Algérie,Aguedel El Beylik ,,
162,Mali,Aguelhock ,,
163,Bénin,Agwey ,,
164,Bénin,Ahémé,Lac ,
165,Algérie,Ahl El Ghafer ,,
166,Algérie,Ahmed Ben Ali ,,
167,Algérie,Ahmed Rachedi ,,
168,Algérie,Ahmer El ’Aïn ,,
169,Algérie,Ahnet,Région géographique ,
170,Allemagne,Ahrweiler ,,
171,Algérie,Ahsasnah ,,
172,Mayenne ; France,Ahuillé ,,
173,Algérie,Aïdem ,,
174,Gers ; France,Aignan ,,
175,Côte-d\'Or ; France,Aignay-le-Duc ,,
176,,Aigrefeuille-d\Aunis,,
177,Charente-Maritime ; France,Aigrefeuille ,,
178,Yonne ; France,Aigremont ,,
179,Sotuba ; Mali,Aigrettes,Barrage des ,
180,Charente ; France,Aigre ,,
181,Savoie ; France,Aiguebelle ,,
182,Puy-de-Dôme ; France,Aigueperse ,,
183,Gard ; France,Aigues-Mortes ,,
184,Gard ; France,Aigues-Vives ,,
185,Lot-et-Garonne ; France,Aiguillon ,,
186,Indre ; France,Aigurande ,,
187,Canada,Ailleboust,Seigneurie ,
188,Somme ; France,Ailly-le-Haut-Clocher ,,
189,Meuse ; France,Ailly-sur-Meuse ,,
190,Somme ; France,Ailly-sur-Noye ,,
191,Somme ; France,Ailly-sur-Somme ,,
192,Eure ; France,Ailly ,,
193,Meuse ; France,Ailly ,,
194,Gard ; France,Aimargues ,,
195,Gabon/République du Congo,Aïna,Cours d\eau ,
196,Algérie,Aïn Abessa ,,
197,Algérie,Aïn Abid ,,
198,Algérie,Aïn Achour,Mine de l\ ,
199,Algérie,Aïn Affra ,,
200,Algérie,Aïn Amara ,,
201,Algérie,Aïn Arko ,,
202,Algérie,Aïn Arnat ,,
203,Algérie,Aïn Azel ,,
204,Algérie,Aïn Babouche ,,
205,Algérie,Aïn Barbar ,,
206,Algérie,Aïn Barouaga ,,
207, Algérie,Aïn Beda ,,
208,Algérie,Aïn Behaïr ,,
209,Algérie,Aïn Beïda ,,
210,Algérie,Aïn Beïda,Arrondissement ,
211,Algérie,Aïn Beïda,Cercle ,
212,Algérie,Aïn Benian ,,
213,Algérie,Aïn Berda ,,
214,Algérie,Aïn Bessem ,,
215,Algérie,Aïn Bessem,Commune mixte ,
216,Maroc,Aïn Bni Mathar ,,
217,Algérie,Aïn Boucif,Commune mixte ,
218,Algérie,Aïn Boucif ,,
219,Algérie,Aïn Boudinar ,,
220,Algérie,Aïn Bouyahia ,,
221,Algérie,Aïn Bouziane ,,
222,Algérie,Aïn Bou Dib ,,
223,Algérie,Aïn Bou Fhaïma ,,
224,Algérie,Aïn Cherchar ,,
225,Algérie,Aïn Dalia ,,
226,Algérie,Aïn Defla ,,
227,Constantine ; Algérie,Aïn Defla ,,
228,Algérie,Aïn Deheb ,,
229,Algérie,Aïn Dhab ,,
230,Algérie,Aïn Douz ,,
231,Tunisie,Aïn Draham ,,
232,Algérie,Aïn Dzarit ,,
233,Algérie,Aïn El Affeurd ,,
234,Algérie,Aïn El Assel ,,
235,Algérie,Aïn El Berd ,,
236,Algérie,Aïn El Bey ,,
237,Algérie,Aïn El Bordj ,,
238,Algérie,Aïn El Boucif,Commune mixte ,
239,Algérie,Aïn El Bridj ,,
240,Algérie,Aïn El Bya ,,
241,Algérie,Aïn El Hadid ,,
242,Algérie,Aïn El Hadjar ,,
243,Algérie,Aïn El Hadjel ,,
244,Algérie,Aïn El Hammam ,,
245,Algérie,Aïn El Hout ,,
246,Algérie,Aïn El Ibel ,,
247,Algérie,Aïn El Khemis ,,
248,Algérie,Aïn El Ksar ,,
249,Algérie,Aïn El Ksar,Commune mixte ,
250,Algérie,Aïn El Melh ,,
251,Tunisie,Aïn El Morrah ,,
252,Algérie,Aïn El Turk ,,
253,Algérie,Aïn Embarka ,,
254,Algérie,Aïn Enchir Rayan ,,
255,Algérie,Aïn Fakroun ,,
256,Algérie,Aïn Farès ,,
257,Algérie,Aïn Fesguia ,,
258,Algérie,Aïn Fezza ,,
259,Algérie,Aïn Fouka ,,
260,Algérie,Aïn Fourchi ,,
261,Tchad,Aïn Galaka ,,
262,Algérie,Aïn Ghrour ,,
263,Algérie,Aïn Gourmat ,,
264,Algérie,Aïn Guerfa ,,
265,Algérie,Aïn Guettar ,,
266,Algérie,Aïn Haddada ,,
267,Algérie,Aïn Hassainia ,,
268,Algérie,Aïn Igni ,,
269,Algérie,Aïn Kebira ,,
270,Algérie,Aïn Kebir ,,
271,Algérie,Aïn Kechera ,,
272,Algérie,Aïn Kercha ,,
273,Algérie,Aïn Kerma ,,
274,Algérie,Aïn Kermes ,,
275,Algérie,Aïn Kétone ,,
276,Algérie,Aïn Khalfoun ,,
277,Algérie,Aïn Khiar ,,
278,Algérie,Aïn Kial ,,
279,Algérie,Aïn Kihal ,,
280,Algérie,Aïn Lahdjar ,,
281,Algérie,Aïn Lahma ,,
282,Algérie,Aïn Laloui ,,
283,Algérie,Aïn Lechiakh ,,
284,Algérie,Aïn Mader ,,
285,Algérie,Aïn Mahdi ,,
286,Algérie,Aïn Makhlouf ,,
287,Algérie,Aïn Malah ,,
288,Algérie,Aïn Mazuella ,,
289,Algérie,Aïn Melah ,,
290,Algérie,Aïn Melouk ,,
291,Algérie,Aïn Merane ,,
292,Algérie,Aïn Mimoun ,,
293,Algérie,Aïn Mokra ,,
294,Algérie,Aïn Mokra,Commune mixte ,
295,Algérie,Aïn Mouder ,,
296,Algérie,Aïn M\Lila ,,
297,Algérie,Aïn M\Lila,Arrondissement ,
298,Algérie,Aïn M\Lila,Commune mixte ,
299,Algérie,Aïn Naga ,,
300,Algérie,Aïn Nechma ,,
301,Algérie,Aïn Nouissy ,,
302,Algérie,Aïn N\Sara ,,
303,Algérie,Aïn Oulmene ,,
304,Algérie,Aïn Oumata ,,
305,Algérie,Aïn Oum El Alleug ,,
306,Algérie,Aïn Oussara ,,
307,Algérie,Aïn Regada ,,
308,Algérie,Aïn Rhoul ,,
309,Algérie,Aïn Rich ,,
310,Algérie,Aïn Rihana ,,
311,Algérie,Aïn Romana ,,
312,Algérie,Aïn Roua ,,
313,Algérie,Aïn Sabra ,,
314,Algérie,Aïn Sefia ,,
315,Algérie,Aïn Sefra ,,
316,Algérie,Aïn Sefra,Arrondissement ,
317,Algérie,Aïn Sefra,Cercle ,
318,Algérie,Aïn Sefra,Cours d\eau ,
319,Algérie,Aïn Sefra,Subdivision ,
320,Algérie,Aïn Sefra,Territoire ,
321,Algérie,Aïn Seynour ,,
322,Algérie,Aïn Sfia ,,
323,Algérie,Aïn Sidi Cherif ,,
324,Algérie,Aïn Skhouna ,,
325,Algérie,Aïn Smara ,,
326,Algérie,Aïn Snob ,,
327,Algérie,Aïn Soltan ,,
328,Algérie,Aïn Souda ,,
329,Alger ; Algérie,Aïn Sultan ,,
330,Constantine ; Algérie,Aïn Sultan ,,
331,Algérie,Aïn Tabia ,,
332,Algérie,Aïn Tagourait ,,
333,Algérie,Aïn Tagoureit ,,
334,Algérie,Aïn Tagrout ,,
335,Algérie,Aïn Tahamimine ,,
336,Algérie,Aïn Taya ,,
337,Algérie,Aïn Tebinet ,,
338,Algérie,Aïn Tédélès ,,
339,Algérie,Aïn Temouchent ,,
340,Algérie,Aïn Temouchent,Annexe ,
341,Algérie,Aïn Temouchent,Arrondissement ,
342,Algérie,Aïn Tinn ,,
343,Algérie,AÏn Tittest ,,
344,Algérie,Aïn Tiziret ,,
345,Algérie,Aïn Tletat ,,
346,Algérie,Aïn Toudmann ,,
347,Algérie,Aïn Touta ,,
348,Algérie,Aïn Touta,Commune mixte ,
349,Algérie,Aïn Trab ,,
350,Algérie,Aïn Trid ,,
351,Algérie,Aïn Trik ,,
352,Algérie,Aïn Tsarès ,,
353,Algérie,Aïn Turc ,,
354,Algérie,Aïn Turki ,,
355,Algérie,Aïn Yagout ,,
356,Algérie,Aïn Youcef ,,
357,Algérie,Aïn Zada ,,
358,Algérie,Aïn Zana ,,
359,Algérie,Aïn Zaouïa ,,
360,Algérie,Aïn Zatout ,,
361,Algérie,Aïn Zebda ,,
362,El Biar ; Algérie,Aïn Zeboudja,Quartier ,
363,Algérie,Aïn Zitoun ,,
364,Algérie,Aïn Zouit ,,
365,France,Ain,Département ,
366,Algérie,Aïoun El Adjaïz ,,
367,Mauritanie,Aïoun El Atrouss ,,
368,Algérie,Aïoun El Hadjiz ,,
369,Alger ; Algérie,Air-de-France,Quartier ,
370,Somme ; France,Airaines ,,
371,Pas-de-Calais ; France,Aire-sur-la-Lys ,,
372,Landes ; France,Aire-sur-l\Adour ,,
373,Pas-de-Calais ; France,Aire en Artois ,,
374,Ardennes ; France,Aire ,,
375,Landes ; France,Aire ,,
376,Niger,Aïr,Massif de l\ ,
377,France,Aisne,Département ,
378,Yonne ; France,Aisy-sur-Armançon ,,
379,Algérie,Aït Aïcha ,,
380,Algérie,Aït Ali Ouharzoune ,,
381,Algérie,Aït Ameur ,,
382,Algérie,Aït Bouhini ,,
383,Algérie,Aït Bou Adda ,,
384,Algérie,Aït Braham ,,
385,Algérie,Aït Chaffa ,,
386,Algérie,Aït Daoud ,,
387,Algérie,Aït Hichem ,,
388,Algérie,Aït Ikhelef ,,
389,Algérie,Aït Laziz  ,,
390,Algérie,Aït Mahmoud ,,
391,Algérie,Aït Mislaine ,,
392,Algérie,Aït Ouarest Ou Ali ,,
393,Algérie,Aït Ouaret Ouali ,,
394,Algérie,Aït Saada ,,
395,Algérie,Aït Saïd ,,
396,Algérie,Aït Sellane ,,
397,Algérie,Aït Sidi Ahmed Ourdja ,,
398,Algérie,Aït Tassaft ,,
399,,Aït Toudert Algérie),,
400,Algérie,Aït Yahia ,,
401,Algérie,Aït Zellal ,,
402,Bouches-du-Rhône ; France,Aix-en-Provence ,,
403,Allemagne,Aix-la-Chapelle ,,
404,Savoie ; France,Aix-les-Bains ,,
405,Haute-Vienne ; France,Aixe-sur-Vienne ,,
406,Charente-Maritime ; France,Aix,Île d\ ,
407,Corse-du-Sud ; France,Ajaccio ,,
408,Algérie,Ajjer,Territoire des ,
409,Algérie,Akabiou ,,
410,Burkina Faso/Côte d\'Ivoire,Akba,Cours d\eau ,
411,Algérie,Akbils ,,
412,Algérie,Akbou ,,
413,Algérie,Akbou,Arrondissement ,
414,Algérie,Akbou,Cercle ,
415,Algérie,Akbou,Commune mixte ,
416,Côte d\'Ivoire,Aké Béfiat ,,
417,Algérie,Akfadou ,,
418,Mauritanie,Akjoujt/Fort-Gouraud,Voie ferrée ,
419,Mauritanie,Akjoujt ,,
420,Israël,Akko ,,
421,Cameroun,Akonolinga,Subdivision ,
422,Bénin,Akpassi ,,
423,Bénin,Akpéchi ,,
424,Togo,Akposso,Subdivision ,
425,Mauritanie,Akreijit,Fort ,
426,États-Unis,Alabama,Cours d\eau ,
427,États-Unis,Alabama,État ,
428,Algérie,Alaïmia ,,
429,Gard ; France,Alais ,,
430,Côte d\'Ivoire,Alangoua,Région géographique ,
431,Ardèche,Alba-la-Romaine ,,
432,Gambie,Albadarr ,,
433,,Albanie,,
434,New York ; États-Unis,Albany ,,
435,Italie,Alba ,,
436,Pyrénées-Orientales ; France,Albère ,,
437,Ouganda/République démocratique du Congo,Albert,Lac ,
438,Bas-Rhin ; France,Albé ,,
439,Italie,Albe ,,
440,Tarn ; France,Albi ,,
441,Gambie,Albreda ,,
442,Guinée,Alcatraz,Île ,
443,Mauritanie,Aleg ,,
444,Algérie,Alelich ,,
445,Algérie,Alelik,Plaine de l\ ,
446,Gabon,Alembé ,,
447,Orne ; France,Alençon ,,
448,Pyrénées-Orientales ; France,Alénya ,,
449,Côte d\'Ivoire,Alépé/Mopé,Voie ferrée ,
450,Côte d\'Ivoire,Alépé ,,
451,Syrie,Alep ,,
452,Italie,Alessandria ,,
453,Gard ; France,Alès ,,
454,Aude ; France,Alet-les-Bains ,,
455,Aude ; France,Aleth ,,
456,Turquie,Alexandrette ,,
457,Virginie ; États-Unis,Alexandria ,,
458,Égypte,Alexandrie ,,
459,Italie,Alexandrie ,,
460,Virginie ; États-Unis,Alexandrie ,,
461,Côte d\'Ivoire,Alfagou ,,
462,Mauritanie,Alfatak,Lieu-dit ,
463,Val-de-Marne ; France,Alfortville ,,
464,Espagne,Algeciras ,,
465,Algérie,Alger-Est,Arrondissement ,
466,,Algérie,,
467,Algérie,Alger ,,
468,Algérie,Alger,Annexe ,
469,Algérie,Alger,Arrondissement ,
470,Algérie,Alger,Cercle ,
471,Algérie,Alger,Département ,
472,Algérie,Alger,Division ,
473,Algérie,Alger,Province ,
474,Algérie,Alger,Région ,
475,Algérie,Alger,Subdivision ,
476,Espagne,Algésiras ,,
477,Alabama ; États-Unis,Alibamons,Cours d\eau ,
478,Wetumpka ; Alabama ; États-Unis,Alibamons,Fort ,
479,Alabama ; États-Unis,Alibamons,Poste ,
480,Alabama ; États-Unis,Alibamons,Territoire des ,
481,Espagne,Alicante ,,
482,République du Congo,Alima-Léfini,Circonscription ,
483,République du Congo,Alima,Circonscription ,
484,République du Congo,Alima,Cours d\eau ,
485,République centrafricaine,Alindao,Subdivision ,
486,Côte d\'Ivoire,Alingia ,,
487,Côte d\'Ivoire,Alinja ,,
488,Côte-d’Or ; France,Alise-Sainte-Reine ,,
489,Drôme ; France,Alixan ,,
490,Djibouti,Ali Sabieh,Cercle ,
491,Bénin,Allada ,,
492,Bénin,Allada,Cercle ,
493,Bénin,Allada,Royaume ,
494,Algérie,Allala,Cours d\eau ,
495,Algérie,Allala,Vallée de l\ ,
496,Inde,Allancoupom ,,
497,Inde,Allankuppam ,,
498,Corrèze ; France,Allassac ,,
499,Gard ; France,Allègre-les-Fumades ,,
500,Haute-Loire ; France,Allègre ,,
501,,Allemagne,,
502,Côte-d\'Or ; France,Allerey ,,
503,France,Allier,Département ,
504,Eure-et-Loir ; France,Allonnes ,,
505,Maine-et-Loire ; France,Allonnes ,,
506,Sarthe ; France,Allonnes ,,
507,Deux-Sèvres ; France,Allonne ,,
508,Oise ; France,Allonne ,,
509,Sénégal,Almadies,Pointe des ,
510,Espagne,Almanza ,,
511,Algérie,Alma ,,
512,Vietnam,Along,Baie d\ ,
513,Pyrénées-Atlantiques ; France,Alos-Sibas-Abense ,,
514,France,Alpes-de-Haute-Provence,Département ,
515,France,Alpes-Maritimes,Département ,
516,France,Alsace-Lorraine,Région géographique ,
517,France,Alsace,Région géographique ,
518,Algérie,Altkirch ,,
519,Belgique,Alveringem ,,
520,Ariège ; France,Alzen ,,
521,Gard ; France,Alzon ,,
522,Irak,Al Basra ,,
523,Tunisie,Al Hammamat ,,
524,Syrie,Al Hassetché ,,
525,Yémen,Al Hudayda ,,
526,Égypte,Al Iskandariya ,,
527,Algérie,Al Jazaïr ,,
528,Cisjordanie,Al Khalil ,,
529,Libye,Al Kufrah ,,
530,Soudan,Al Kuraynik ,,
531,Syrie,Al Ladhiqiya ,,
532,Arabie Saoudite,Al Madinah ,,
533,Égypte,Al Qahira ,,
534,Haute-Saône ; France,Amance ,,
535,Saône-et-Loire ; France,Amanzé ,,
536,Brésil,Amapa ,,
537,Pérou/Brésil,Amazonas,Cours d\eau ,
538,Pérou/Brésil,Amazone,Cours d\eau ,
539,Djibouti,Ambado ,,
540,Cameroun,Ambam/Ébolowa,Route ,
541,Cameroun,Ambam ,,
542,Inde,Ambaragatour ,,
543,Haute-Vienne ; France,Ambazac ,,
544,Puy-de-Dôme ; France,Ambert ,,
545,Mali,Ambidédi/Kayes,Voie ferrée ,
546,Mali,Ambidédi ,,
547,Loire ; France,Ambierle ,,
548,Haute-Saône ; France,Amblans-et-Velotte ,,
549,Haute-Saône ; France,Amblans ,,
550,Pas-de-Calais ; France,Ambleteuse ,,
551,Meuse ; France,Ambly-sur-Meuse ,,
552,Meuse ; France,Ambly ,,
553,Indre-et-Loire ; France,Amboise ,,
554,Djibouti,Ambouli ,,
555,Corrèze ; France,Ambrugeat ,,
556,Floride ; États-Unis,Amelia,Île ,
557,Côte d\'Ivoire,Amenvo,Chutes d\ ,
558,,Amérique,,
559,,Amérique centrale,,
560,,Amérique du Nord,,
561,,Amérique du Nord,Colonies françaises,
562,,Amérique du Sud,,
563,,Amérique latine,,
564,,Amérique septentrionale,,
565,,Amérique,Colonies britanniques,
566,,Amérique,Colonies espagnoles,
567,,Amérique,Colonies françaises,
568,,Amérique,Colonies néerlandaises,
569,,Amérique,Îles d\,
570,,Amérique,Îles françaises d\,
571,Algérie,Ameur El Aïn ,,
572,Somme ; France,Amiens ,,
573,"Nouvelle-Calédonie, Île de la",Amieu,Col d\ ,
574,Aisne ; France,Amigny-Rouy ,,
575,Canada,Amiot,Seigneurie ,
576,Chine/Vietnam,Ami Tcheou/Lao Kay,Voie ferrée ,
577,Chine,Ami Tcheou ,,
578,Algérie,Ammal ,,
579,Algérie,Ammi Moussa ,,
580,Algérie,Ammi Moussa,Cercle ,
581,Algérie,Ammi Moussa,Commune mixte ,
582,Côte d\'Ivoire,Amoka ,,
583,Ghana,Amokou,Fort ,
584,Algérie,Amoucha ,,
585,Algérie,Amoucha,Commune mixte ,
586,Algérie,Amoura ,,
587,Algérie,Amour,Djebel ,
588,Chine,Amoy ,,
589,Algérie,Ampère ,,
590,Seine-et-Marne ; France,Amponville ,,
591,Rhône ; France,Ampuis ,,
592,Algérie,Amraoua ,,
593,"Saint-Martin, Île",Amsterdam,Fort ,
594,Pays-Bas,Amsterdam ,,
595,Tchad,Am Dam,Subdivision ,
596,Tchad,Am Timan,Subdivision ,
597,Tchad,Am Timan ,,
598,Guyane française,Anacibo ,,
599,Turquie,Anadolu ,,
600,Ghana,Anamabou ,,
601,Algérie,Anasseur,Cours d\eau ,
602,,Anatolie,,
603,Turquie,Anatolie,Région géographique ,
604,"Vanuatu, Archipel du",Anatom,Île ,
605,Hautes-Alpes ; France,Ancelle ,,
606,Loire-Atlantique ; France,Ancenis ,,
607,Meuse ; France,Ancerville ,,
608,"Saint-Martin, Île",Ances Mancelles ,,
609,"Guadeloupe, Île de la",Ance Bertrand ,,
610,"Rivière-Pilote ; Martinique, Île de la",Ance du Figuier ,,
611,Canada,Ancienne-Lorette ,,
612,République du Congo,Ancien N\Gombé ,,
613,Sarthe ; France,Ancinnes ,,
614,Italie,Ancona ,,
615,Italie,Ancône ,,
616,Yonne ; France,Ancy-le-Franc ,,
617,Algérie,Andalouses,Plaine des ,
618,Espagne,Andalousie,Région géographique ,
619,Espagne,Andalucía,Région géographique ,
620,Meuse ; France,Andernay ,,
621,Bas-Rhin ; France,Andlau ,,
622,Éthiopie,Andobed,Cours d\eau ,
623,,Andorre,,
624,Éthiopie,Ando Bet,Cours d\eau ,
625,Colombie,Andrea,Île ,
626,Gard ; France,Anduze ,,
627,Togo,Anécho/Lomé,Route ,
628,Togo,Anécho/Lomé,Voie ferrée ,
629,Togo/Bénin,Anécho/Segboroué,Voie ferrée ,
630,Togo,Anécho,Cercle ,
631,Togo,Anécho ,,
632,Mali,Anéfis ,,
633,Togo,Aného ,,
634,"Vanuatu, Archipel du",Aneytium,Île ,
635,Casablanca ; Maroc,Anfa,Quartier ,
636,Ardennes ; France,Angecourt ,,
637,Maine-et-Loire ; France,Angers ,,
638,Essonne ; France,Angerville ,,
639,Cambodge,Angkor ,,
640,Cambodge,Angkor,Province ,
641,Tarn ; France,Anglès ,,
642,,Angleterre,,
643,Pyrénées-Atlantiques ; France,Anglet ,,
644,,Anglo-Normandes,Îles,
645,Dordogne ; France,Angoisse ,,
646,,Angola,,
647,Afrique,Angola,Côte d\ ,
648,Charente ; France,Angoulême ,,
649,France,Angoumois,Région géographique ,
650,Antilles,Anguilla,Île ,
651,Antilles,Anguille,Île ,
652,Vietnam,Anh Son ,,
653,Nord ; France,Aniche ,,
654,Togo,Anié ,,
655,Indre ; France,Anjouin ,,
656,France,Anjou,Région géographique ,
657,Turquie,Ankara ,,
658,Vietnam,Ankroet,Chutes d\ ,
659,Vietnam,Ankroet,Lac d’ ,
660,Algérie,Annaba ,,
661,,Annam,,
662,Canada,Annapolis Royal ,,
663,Yonne ; France,Annay-la-Côte ,,
664,Haute-Savoie ; France,Annecy-le-Vieux ,,
665,Haute-Savoie ; France,Annecy ,,
666,Haute-Savoie ; France,Annemasse ,,
667,Seine-et-Marne ; France,Annet-sur-Marne ,,
668,Guinée équatoriale,Annobon,Île d\ ,
669,Ardèche ; France,Annonay ,,
670,Alpes-de-Haute-Provence ; France,Annot ,,
671,Yonne ; France,Annoux ,,
672,Côte d\'Ivoire,Anno,Région géographique ,
673,Ghana,Anomabo ,,
674,Oise ; France,Ansauvillers ,,
675,"Grenade, Île de",Anse-à-Goyave ,,
676,"Saint-Domingue, Île de",Anse-à-Veau ,,
677,"Guadeloupe, Île de la",Anse-Bertrand ,,
678,Sainte-Lucie,Anse-Canot ,,
679,"Sainte-Lucie, Île",Anse-Choiseul ,,
680,"Sainte-Lucie, Île",Anse-Citron ,,
681,"Sainte-Lucie, Île",Anse-La-Raye ,,
682,"Le Prêcheur ; Martinique, Île de la",Anse-l\Abîme ,,
