,Administration,NAME,Type,titre,titre_encoded,IREL_url,Coordonnees,latitude,longitude,Administration_bis,Lieu-dit_bis,placeName
107,Algérie,Afensou ,,Afensou (Algérie),Afensou%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Afensou%20%28Alg%C3%A9rie%29,37.0333 6.4456,37.0333,6.4456,,,Algérie
108,Algérie,Affreville ,,Affreville (Algérie),Affreville%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Affreville%20%28Alg%C3%A9rie%29,36.2610 2.2201,36.2610,2.2201,,,Algérie
110,Algérie,Afia,Cap ,AfiaCap (Algérie),AfiaCap%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AfiaCap%20%28Alg%C3%A9rie%29,,,,,,Algérie
111,Algérie,Afir ,,Afir (Algérie),Afir%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Afir%20%28Alg%C3%A9rie%29,36.8444 3.9872,36.8444,3.9872,,,Algérie
113,Algérie,Aflou ,,Aflou (Algérie),Aflou%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aflou%20%28Alg%C3%A9rie%29,34.1128 2.1023,34.1128,2.1023,,,Algérie
114,Algérie,Aflou,Annexe ,AflouAnnexe (Algérie),AflouAnnexe%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AflouAnnexe%20%28Alg%C3%A9rie%29,,,,,,Algérie
115,Algérie,Aflou,Arrondissement ,AflouArrondissement (Algérie),AflouArrondissement%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AflouArrondissement%20%28Alg%C3%A9rie%29,,,,,,Algérie
116,Algérie,Aflou,Commune mixte ,AflouCommune mixte (Algérie),AflouCommune%20mixte%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AflouCommune%20mixte%20%28Alg%C3%A9rie%29,,,,,,Algérie
133,Algérie,Agadie ,,Agadie (Algérie),Agadie%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Agadie%20%28Alg%C3%A9rie%29,,,,,,Algérie
145,Algérie,Aghbal ,,Aghbal (Algérie),Aghbal%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aghbal%20%28Alg%C3%A9rie%29,36.4989 1.8413,36.4989,1.8413,,,Algérie
146,Algérie,Aghribs ,,Aghribs (Algérie),Aghribs%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aghribs%20%28Alg%C3%A9rie%29,36.8022 4.3227,36.8022,4.3227,,,Algérie
160,Algérie,Agrioun,Cours d\'eau ,AgriounCours d\eau (Algérie),AgriounCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AgriounCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,,Algérie
161,Algérie,Aguedel El Beylik ,,Aguedel El Beylik (Algérie),Aguedel%20El%20Beylik%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aguedel%20El%20Beylik%20%28Alg%C3%A9rie%29,35.8958 6.3956,35.8958,6.3956,,,Algérie
165,Algérie,Ahl El Ghafer ,,Ahl El Ghafer (Algérie),Ahl%20El%20Ghafer%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ahl%20El%20Ghafer%20%28Alg%C3%A9rie%29,34.8259 -1.5089,34.8259,-1.5089,,,Algérie
166,Algérie,Ahmed Ben Ali ,,Ahmed Ben Ali (Algérie),Ahmed%20Ben%20Ali%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ahmed%20Ben%20Ali%20%28Alg%C3%A9rie%29,36.7147 7.0799,36.7147,7.0799,,,Algérie
167,Algérie,Ahmed Rachedi ,,Ahmed Rachedi (Algérie),Ahmed%20Rachedi%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ahmed%20Rachedi%20%28Alg%C3%A9rie%29,36.3909 6.1310,36.3909,6.1310,,,Algérie
168,Algérie,Ahmer El ’Aïn ,,Ahmer El ’Aïn (Algérie),Ahmer%20El%20%E2%80%99A%C3%AFn%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ahmer%20El%20%E2%80%99A%C3%AFn%20%28Alg%C3%A9rie%29,36.4765 2.5677,36.4765,2.5677,,,Algérie
169,Algérie,Ahnet,Région géographique ,AhnetRégion géographique (Algérie),AhnetR%C3%A9gion%20g%C3%A9ographique%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AhnetR%C3%A9gion%20g%C3%A9ographique%20%28Alg%C3%A9rie%29,,,,,,Algérie
171,Algérie,Ahsasnah ,,Ahsasnah (Algérie),Ahsasnah%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ahsasnah%20%28Alg%C3%A9rie%29,,,,,,Algérie
173,Algérie,Aïdem ,,Aïdem (Algérie),A%C3%AFdem%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFdem%20%28Alg%C3%A9rie%29,36.5333 6.1500,36.5333,6.1500,,,Algérie
196,Algérie,Aïn Abessa ,,Aïn Abessa (Algérie),A%C3%AFn%20Abessa%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Abessa%20%28Alg%C3%A9rie%29,36.2984 5.2945,36.2984,5.2945,,,Algérie
197,Algérie,Aïn Abid ,,Aïn Abid (Algérie),A%C3%AFn%20Abid%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Abid%20%28Alg%C3%A9rie%29,36.2319 6.9433,36.2319,6.9433,,,Algérie
198,Algérie,Aïn Achour,Mine de l\' ,Aïn AchourMine de l\ (Algérie),A%C3%AFn%20AchourMine%20de%20l%5C%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20AchourMine%20de%20l%5C%20%28Alg%C3%A9rie%29,,,,,,Algérie
199,Algérie,Aïn Affra ,,Aïn Affra (Algérie),A%C3%AFn%20Affra%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Affra%20%28Alg%C3%A9rie%29,36.3997 7.8308,36.3997,7.8308,,,Algérie
200,Algérie,Aïn Amara ,,Aïn Amara (Algérie),A%C3%AFn%20Amara%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Amara%20%28Alg%C3%A9rie%29,36.4053 7.2694,36.4053,7.2694,,,Algérie
201,Algérie,Aïn Arko ,,Aïn Arko (Algérie),A%C3%AFn%20Arko%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Arko%20%28Alg%C3%A9rie%29,36.0911 7.1144,36.0911,7.1144,,,Algérie
202,Algérie,Aïn Arnat ,,Aïn Arnat (Algérie),A%C3%AFn%20Arnat%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Arnat%20%28Alg%C3%A9rie%29,36.1868 5.3135,36.1868,5.3135,,,Algérie
203,Algérie,Aïn Azel ,,Aïn Azel (Algérie),A%C3%AFn%20Azel%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Azel%20%28Alg%C3%A9rie%29,35.8185 5.5112,35.8185,5.5112,,,Algérie
204,Algérie,Aïn Babouche ,,Aïn Babouche (Algérie),A%C3%AFn%20Babouche%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Babouche%20%28Alg%C3%A9rie%29,35.9419 7.1875,35.9419,7.1875,,,Algérie
205,Algérie,Aïn Barbar ,,Aïn Barbar (Algérie),A%C3%AFn%20Barbar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Barbar%20%28Alg%C3%A9rie%29,36.9913 7.5564,36.9913,7.5564,,,Algérie
206,Algérie,Aïn Barouaga ,,Aïn Barouaga (Algérie),A%C3%AFn%20Barouaga%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Barouaga%20%28Alg%C3%A9rie%29,36.9113 7.6772,36.9113,7.6772,,,Algérie
207, Algérie,Aïn Beda ,,Aïn Beda ( Algérie),A%C3%AFn%20Beda%20%28%20Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Beda%20%28%20Alg%C3%A9rie%29,35.6372 -0.6683,35.6372,-0.6683,,,Algérie
208,Algérie,Aïn Behaïr ,,Aïn Behaïr (Algérie),A%C3%AFn%20Beha%C3%AFr%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Beha%C3%AFr%20%28Alg%C3%A9rie%29,,,,,,Algérie
209,Algérie,Aïn Beïda ,,Aïn Beïda (Algérie),A%C3%AFn%20Be%C3%AFda%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Be%C3%AFda%20%28Alg%C3%A9rie%29,35.7964 7.3928,35.7964,7.3928,,,Algérie
210,Algérie,Aïn Beïda,Arrondissement ,Aïn BeïdaArrondissement (Algérie),A%C3%AFn%20Be%C3%AFdaArrondissement%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Be%C3%AFdaArrondissement%20%28Alg%C3%A9rie%29,,,,,,Algérie
211,Algérie,Aïn Beïda,Cercle ,Aïn BeïdaCercle (Algérie),A%C3%AFn%20Be%C3%AFdaCercle%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Be%C3%AFdaCercle%20%28Alg%C3%A9rie%29,,,,,,Algérie
212,Algérie,Aïn Benian ,,Aïn Benian (Algérie),A%C3%AFn%20Benian%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Benian%20%28Alg%C3%A9rie%29,,,,,,Algérie
213,Algérie,Aïn Berda ,,Aïn Berda (Algérie),A%C3%AFn%20Berda%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Berda%20%28Alg%C3%A9rie%29,,,,,,Algérie
214,Algérie,Aïn Bessem ,,Aïn Bessem (Algérie),A%C3%AFn%20Bessem%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Bessem%20%28Alg%C3%A9rie%29,36.2933 3.6732,36.2933,3.6732,,,Algérie
215,Algérie,Aïn Bessem,Commune mixte ,Aïn BessemCommune mixte (Algérie),A%C3%AFn%20BessemCommune%20mixte%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20BessemCommune%20mixte%20%28Alg%C3%A9rie%29,,,,,,Algérie
217,Algérie,Aïn Boucif,Commune mixte ,Aïn BoucifCommune mixte (Algérie),A%C3%AFn%20BoucifCommune%20mixte%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20BoucifCommune%20mixte%20%28Alg%C3%A9rie%29,,,,,,Algérie
218,Algérie,Aïn Boucif ,,Aïn Boucif (Algérie),A%C3%AFn%20Boucif%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Boucif%20%28Alg%C3%A9rie%29,,,,,,Algérie
219,Algérie,Aïn Boudinar ,,Aïn Boudinar (Algérie),A%C3%AFn%20Boudinar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Boudinar%20%28Alg%C3%A9rie%29,36.0086 0.1872,36.0086,0.1872,,,Algérie
220,Algérie,Aïn Bouyahia ,,Aïn Bouyahia (Algérie),A%C3%AFn%20Bouyahia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Bouyahia%20%28Alg%C3%A9rie%29,36.2879 1.7670,36.2879,1.7670,,,Algérie
221,Algérie,Aïn Bouziane ,,Aïn Bouziane (Algérie),A%C3%AFn%20Bouziane%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Bouziane%20%28Alg%C3%A9rie%29,36.5984 6.7508,36.5984,6.7508,,,Algérie
222,Algérie,Aïn Bou Dib ,,Aïn Bou Dib (Algérie),A%C3%AFn%20Bou%20Dib%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Bou%20Dib%20%28Alg%C3%A9rie%29,36.3212 3.7459,36.3212,3.7459,,,Algérie
223,Algérie,Aïn Bou Fhaïma ,,Aïn Bou Fhaïma (Algérie),A%C3%AFn%20Bou%20Fha%C3%AFma%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Bou%20Fha%C3%AFma%20%28Alg%C3%A9rie%29,36.5517 3.8063,36.5517,3.8063,,,Algérie
224,Algérie,Aïn Cherchar ,,Aïn Cherchar (Algérie),A%C3%AFn%20Cherchar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Cherchar%20%28Alg%C3%A9rie%29,36.7311 7.2197,36.7311,7.2197,,,Algérie
225,Algérie,Aïn Dalia ,,Aïn Dalia (Algérie),A%C3%AFn%20Dalia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Dalia%20%28Alg%C3%A9rie%29,35.9473 2.6023,35.9473,2.6023,,,Algérie
226,Algérie,Aïn Defla ,,Aïn Defla (Algérie),A%C3%AFn%20Defla%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Defla%20%28Alg%C3%A9rie%29,36.2641 1.9679,36.2641,1.9679,,,Algérie
227,Constantine ,Aïn Defla ,,Aïn Defla (Constantine ; Algérie),A%C3%AFn%20Defla%20%28Constantine%20%3B%20Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Defla%20%28Constantine%20%3B%20Alg%C3%A9rie%29,36.0697 4.5493,36.0697,4.5493,Algérie,,Algérie
228,Algérie,Aïn Deheb ,,Aïn Deheb (Algérie),A%C3%AFn%20Deheb%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Deheb%20%28Alg%C3%A9rie%29,34.8422 1.5470,34.8422,1.5470,,,Algérie
229,Algérie,Aïn Dhab ,,Aïn Dhab (Algérie),A%C3%AFn%20Dhab%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Dhab%20%28Alg%C3%A9rie%29,36.2634 2.7846,36.2634,2.7846,,,Algérie
230,Algérie,Aïn Douz ,,Aïn Douz (Algérie),A%C3%AFn%20Douz%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Douz%20%28Alg%C3%A9rie%29,34.8500 -1.4500,34.8500,-1.4500,,,Algérie
232,Algérie,Aïn Dzarit ,,Aïn Dzarit (Algérie),A%C3%AFn%20Dzarit%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Dzarit%20%28Alg%C3%A9rie%29,35.3532 1.6674,35.3532,1.6674,,,Algérie
233,Algérie,Aïn El Affeurd ,,Aïn El Affeurd (Algérie),A%C3%AFn%20El%20Affeurd%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Affeurd%20%28Alg%C3%A9rie%29,,,,,,Algérie
234,Algérie,Aïn El Assel ,,Aïn El Assel (Algérie),A%C3%AFn%20El%20Assel%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Assel%20%28Alg%C3%A9rie%29,36.7869 8.3850,36.7869,8.3850,,,Algérie
235,Algérie,Aïn El Berd ,,Aïn El Berd (Algérie),A%C3%AFn%20El%20Berd%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Berd%20%28Alg%C3%A9rie%29,35.3640 -0.5128,35.3640,-0.5128,,,Algérie
236,Algérie,Aïn El Bey ,,Aïn El Bey (Algérie),A%C3%AFn%20El%20Bey%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Bey%20%28Alg%C3%A9rie%29,36.2560 6.6118,36.2560,6.6118,,,Algérie
237,Algérie,Aïn El Bordj ,,Aïn El Bordj (Algérie),A%C3%AFn%20El%20Bordj%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Bordj%20%28Alg%C3%A9rie%29,36.1102 6.9454,36.1102,6.9454,,,Algérie
238,Algérie,Aïn El Boucif,Commune mixte ,Aïn El BoucifCommune mixte (Algérie),A%C3%AFn%20El%20BoucifCommune%20mixte%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20BoucifCommune%20mixte%20%28Alg%C3%A9rie%29,,,,,,Algérie
239,Algérie,Aïn El Bridj ,,Aïn El Bridj (Algérie),A%C3%AFn%20El%20Bridj%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Bridj%20%28Alg%C3%A9rie%29,35.1814 -1.1534,35.1814,-1.1534,,,Algérie
240,Algérie,Aïn El Bya ,,Aïn El Bya (Algérie),A%C3%AFn%20El%20Bya%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Bya%20%28Alg%C3%A9rie%29,35.8081 -0.2949,35.8081,-0.2949,,,Algérie
241,Algérie,Aïn El Hadid ,,Aïn El Hadid (Algérie),A%C3%AFn%20El%20Hadid%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Hadid%20%28Alg%C3%A9rie%29,35.0575 0.8843,35.0575,0.8843,,,Algérie
242,Algérie,Aïn El Hadjar ,,Aïn El Hadjar (Algérie),A%C3%AFn%20El%20Hadjar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Hadjar%20%28Alg%C3%A9rie%29,34.7587 0.1444,34.7587,0.1444,,,Algérie
243,Algérie,Aïn El Hadjel ,,Aïn El Hadjel (Algérie),A%C3%AFn%20El%20Hadjel%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Hadjel%20%28Alg%C3%A9rie%29,35.6700 3.8815,35.6700,3.8815,,,Algérie
244,Algérie,Aïn El Hammam ,,Aïn El Hammam (Algérie),A%C3%AFn%20El%20Hammam%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Hammam%20%28Alg%C3%A9rie%29,36.5720 4.3170,36.5720,4.3170,,,Algérie
245,Algérie,Aïn El Hout ,,Aïn El Hout (Algérie),A%C3%AFn%20El%20Hout%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Hout%20%28Alg%C3%A9rie%29,34.9321 -1.3252,34.9321,-1.3252,,,Algérie
246,Algérie,Aïn El Ibel ,,Aïn El Ibel (Algérie),A%C3%AFn%20El%20Ibel%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Ibel%20%28Alg%C3%A9rie%29,34.3468 3.2174,34.3468,3.2174,,,Algérie
247,Algérie,Aïn El Khemis ,,Aïn El Khemis (Algérie),A%C3%AFn%20El%20Khemis%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Khemis%20%28Alg%C3%A9rie%29,,,,,,Algérie
248,Algérie,Aïn El Ksar ,,Aïn El Ksar (Algérie),A%C3%AFn%20El%20Ksar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20El%20Ksar%20%28Alg%C3%A9rie%29,35.6902 6.3302,35.6902,6.3302,,,Algérie
