,Administration,NAME,Type,titre
83,Côte d\'Ivoire,Adiué ,,Adiué (Côte d\Ivoire)
84,Côte d\'Ivoire,Adjacouty ,,Adjacouty (Côte d\Ivoire)
85,Côte d\'Ivoire,Adjamé ,,Adjamé (Côte d\Ivoire)
86,Bénin,Adjanté ,,Adjanté (Bénin)
87,Bénin,Adjarra ,,Adjarra (Bénin)
88,Algérie,Adjeroud ,,Adjeroud (Algérie)
89,Algérie,Adjiba ,,Adjiba (Algérie)
90,Algérie,Adjioun ,,Adjioun (Algérie)
91,Bénin,Adjohon ,,Adjohon (Bénin)
92,Gabon,Adolina Longo ,,Adolina Longo (Gabon)
93,Gabon,Adoumas,Circonscription ,AdoumasCirconscription (Gabon)
94,Algérie/Mali,Adrar des Ifoghas,Massif de l’ ,Adrar des IfoghasMassif de l’ (Algérie/Mali)
95,Algérie/Mali,Adrar des Iforas,Massif de l’ ,Adrar des IforasMassif de l’ (Algérie/Mali)
96,Mauritanie,Adrar mauritanien,Région géographique ,Adrar mauritanienRégion géographique (Mauritanie)
97,Algérie,Adrar ,,Adrar (Algérie)
98,Mauritanie,Adrar,Cercle ,AdrarCercle (Mauritanie)
99,Mauritanie,Adrar,Région géographique ,AdrarRégion géographique (Mauritanie)
100,Tchad,Adré,Subdivision ,AdréSubdivision (Tchad)
101,,Adriatique,Mer',AdriatiqueMer
102,Côte d\'Ivoire,Adzopé ,,Adzopé (Côte d\Ivoire)
103,Sahara occidental,Ad Dakhla ,,Ad Dakhla (Sahara occidental)
104,Sénégal,Aéré ,,Aéré (Sénégal)
105,Togo,Afagnan ,,Afagnan (Togo)
106,Togo,Afanyan Bléta ,,Afanyan Bléta (Togo)
107,Algérie,Afensou ,,Afensou (Algérie)
108,Algérie,Affreville ,,Affreville (Algérie)
109,,Afghanistan',,Afghanistan
110,Algérie,Afia,Cap ,AfiaCap (Algérie)
111,Algérie,Afir ,,Afir (Algérie)
112,Ghana,Aflao ,,Aflao (Ghana)
113,Algérie,Aflou ,,Aflou (Algérie)
114,Algérie,Aflou,Annexe ,AflouAnnexe (Algérie)
115,Algérie,Aflou,Arrondissement ,AflouArrondissement (Algérie)
116,Algérie,Aflou,Commune mixte ,AflouCommune mixte (Algérie)
117,,Afrique',,Afrique
118,,Afrique du Nord,Région géographique',Afrique du NordRégion géographique
119,,Afrique équatoriale française',,Afrique équatoriale française
120,,Afrique occidentale britannique',,Afrique occidentale britannique
121,,Afrique occidentale française',,Afrique occidentale française
122,,Afrique subsaharienne,Région géographique',Afrique subsaharienneRégion géographique
123,,Afrique tropicale,Région géographique',Afrique tropicaleRégion géographique
124,,Afrique,Colonies allemandes',AfriqueColonies allemandes
125,,Afrique,Colonies britanniques',AfriqueColonies britanniques
126,,Afrique,Colonies françaises',AfriqueColonies françaises
127,,Afrique,Colonies italiennes',AfriqueColonies italiennes
128,,Afrique,Colonies portugaises',AfriqueColonies portugaises
129,,Afrique,Côtes occidentales',AfriqueCôtes occidentales
130,,Afrique,Côte orientale',AfriqueCôte orientale
131,Niger,Agadès ,,Agadès (Niger)
132,Niger,Agadez ,,Agadez (Niger)
133,Algérie,Agadie ,,Agadie (Algérie)
134,Maroc/Mali,Agadir/Tombouctou,Route ,Agadir/TombouctouRoute (Maroc/Mali)
135,Maroc,Agadir ,,Agadir (Maroc)
136,Togo,Agbodrafo ,,Agbodrafo (Togo)
137,Togo,Agbonou/Blitta,Voie ferrée ,Agbonou/BlittaVoie ferrée (Togo)
138,Togo,Agbonou/Lomé,Voie ferrée ,Agbonou/LoméVoie ferrée (Togo)
139,Togo,Agbonou ,,Agbonou (Togo)
140,Côte d\'Ivoire,Agboville ,,Agboville (Côte d\Ivoire)
141,Hérault ; France,Agde ,,Agde (Hérault ; France)
142,Aveyron ; France,Agen-d\'Aveyron ,,Agen-d\Aveyron (Aveyron ; France)
143,France,Agenais,Région géographique ,AgenaisRégion géographique (France)
144,Lot-et-Garonne ; France,Agen ,,Agen (Lot-et-Garonne ; France)
145,Algérie,Aghbal ,,Aghbal (Algérie)
146,Algérie,Aghribs ,,Aghribs (Algérie)
147,Côte d\'Ivoire,Agnéby,Cours d\'eau ,AgnébyCours d\eau (Côte d\Ivoire)
148,Côte d\'Ivoire,Agnibilékrou ,,Agnibilékrou (Côte d\Ivoire)
149,Bénin,Agomé Glosou ,,Agomé Glosou (Bénin)
150,Togo,Agomé Klossou ,,Agomé Klossou (Togo)
151,Bénin,Agomé Séva ,,Agomé Séva (Bénin)
152,Bénin,Agonlin ,,Agonlin (Bénin)
153,Hautes-Pyrénées ; France,Agos-Vidalos ,,Agos-Vidalos (Hautes-Pyrénées ; France)
154,Bénin,Agouagon ,,Agouagon (Bénin)
155,Bénin,Agoué ,,Agoué (Bénin)
156,Gabon,Agouma,Poste ,AgoumaPoste (Gabon)
157,Togo,Agou Gadzépé ,,Agou Gadzépé (Togo)
158,Togo,Agou Nyongbo ,,Agou Nyongbo (Togo)
159,Espagne,Agramunt ,,Agramunt (Espagne)
160,Algérie,Agrioun,Cours d\'eau ,AgriounCours d\eau (Algérie)
161,Algérie,Aguedel El Beylik ,,Aguedel El Beylik (Algérie)
162,Mali,Aguelhock ,,Aguelhock (Mali)
163,Bénin,Agwey ,,Agwey (Bénin)
164,Bénin,Ahémé,Lac ,AhéméLac (Bénin)
165,Algérie,Ahl El Ghafer ,,Ahl El Ghafer (Algérie)
166,Algérie,Ahmed Ben Ali ,,Ahmed Ben Ali (Algérie)
167,Algérie,Ahmed Rachedi ,,Ahmed Rachedi (Algérie)
168,Algérie,Ahmer El ’Aïn ,,Ahmer El ’Aïn (Algérie)
169,Algérie,Ahnet,Région géographique ,AhnetRégion géographique (Algérie)
170,Allemagne,Ahrweiler ,,Ahrweiler (Allemagne)
171,Algérie,Ahsasnah ,,Ahsasnah (Algérie)
172,Mayenne ; France,Ahuillé ,,Ahuillé (Mayenne ; France)
173,Algérie,Aïdem ,,Aïdem (Algérie)
174,Gers ; France,Aignan ,,Aignan (Gers ; France)
175,Côte-d\'Or ; France,Aignay-le-Duc ,,Aignay-le-Duc (Côte-d\Or ; France)
176,,Aigrefeuille-d\'Aunis',,Aigrefeuille-d\Aunis
177,Charente-Maritime ; France,Aigrefeuille ,,Aigrefeuille (Charente-Maritime ; France)
178,Yonne ; France,Aigremont ,,Aigremont (Yonne ; France)
179,Sotuba ; Mali,Aigrettes,Barrage des ,AigrettesBarrage des (Sotuba ; Mali)
180,Charente ; France,Aigre ,,Aigre (Charente ; France)
181,Savoie ; France,Aiguebelle ,,Aiguebelle (Savoie ; France)
182,Puy-de-Dôme ; France,Aigueperse ,,Aigueperse (Puy-de-Dôme ; France)
183,Gard ; France,Aigues-Mortes ,,Aigues-Mortes (Gard ; France)
184,Gard ; France,Aigues-Vives ,,Aigues-Vives (Gard ; France)
185,Lot-et-Garonne ; France,Aiguillon ,,Aiguillon (Lot-et-Garonne ; France)
186,Indre ; France,Aigurande ,,Aigurande (Indre ; France)
187,Canada,Ailleboust,Seigneurie ,AilleboustSeigneurie (Canada)
188,Somme ; France,Ailly-le-Haut-Clocher ,,Ailly-le-Haut-Clocher (Somme ; France)
189,Meuse ; France,Ailly-sur-Meuse ,,Ailly-sur-Meuse (Meuse ; France)
190,Somme ; France,Ailly-sur-Noye ,,Ailly-sur-Noye (Somme ; France)
191,Somme ; France,Ailly-sur-Somme ,,Ailly-sur-Somme (Somme ; France)
192,Eure ; France,Ailly ,,Ailly (Eure ; France)
193,Meuse ; France,Ailly ,,Ailly (Meuse ; France)
194,Gard ; France,Aimargues ,,Aimargues (Gard ; France)
195,Gabon/République du Congo,Aïna,Cours d\'eau ,AïnaCours d\eau (Gabon/République du Congo)
196,Algérie,Aïn Abessa ,,Aïn Abessa (Algérie)
197,Algérie,Aïn Abid ,,Aïn Abid (Algérie)
198,Algérie,Aïn Achour,Mine de l\' ,Aïn AchourMine de l\ (Algérie)
199,Algérie,Aïn Affra ,,Aïn Affra (Algérie)
200,Algérie,Aïn Amara ,,Aïn Amara (Algérie)
201,Algérie,Aïn Arko ,,Aïn Arko (Algérie)
202,Algérie,Aïn Arnat ,,Aïn Arnat (Algérie)
203,Algérie,Aïn Azel ,,Aïn Azel (Algérie)
204,Algérie,Aïn Babouche ,,Aïn Babouche (Algérie)
205,Algérie,Aïn Barbar ,,Aïn Barbar (Algérie)
206,Algérie,Aïn Barouaga ,,Aïn Barouaga (Algérie)
207, Algérie,Aïn Beda ,,Aïn Beda ( Algérie)
208,Algérie,Aïn Behaïr ,,Aïn Behaïr (Algérie)
209,Algérie,Aïn Beïda ,,Aïn Beïda (Algérie)
210,Algérie,Aïn Beïda,Arrondissement ,Aïn BeïdaArrondissement (Algérie)
211,Algérie,Aïn Beïda,Cercle ,Aïn BeïdaCercle (Algérie)
212,Algérie,Aïn Benian ,,Aïn Benian (Algérie)
213,Algérie,Aïn Berda ,,Aïn Berda (Algérie)
214,Algérie,Aïn Bessem ,,Aïn Bessem (Algérie)
215,Algérie,Aïn Bessem,Commune mixte ,Aïn BessemCommune mixte (Algérie)
216,Maroc,Aïn Bni Mathar ,,Aïn Bni Mathar (Maroc)
217,Algérie,Aïn Boucif,Commune mixte ,Aïn BoucifCommune mixte (Algérie)
218,Algérie,Aïn Boucif ,,Aïn Boucif (Algérie)
219,Algérie,Aïn Boudinar ,,Aïn Boudinar (Algérie)
220,Algérie,Aïn Bouyahia ,,Aïn Bouyahia (Algérie)
221,Algérie,Aïn Bouziane ,,Aïn Bouziane (Algérie)
222,Algérie,Aïn Bou Dib ,,Aïn Bou Dib (Algérie)
223,Algérie,Aïn Bou Fhaïma ,,Aïn Bou Fhaïma (Algérie)
224,Algérie,Aïn Cherchar ,,Aïn Cherchar (Algérie)
225,Algérie,Aïn Dalia ,,Aïn Dalia (Algérie)
226,Algérie,Aïn Defla ,,Aïn Defla (Algérie)
227,Constantine ; Algérie,Aïn Defla ,,Aïn Defla (Constantine ; Algérie)
228,Algérie,Aïn Deheb ,,Aïn Deheb (Algérie)
229,Algérie,Aïn Dhab ,,Aïn Dhab (Algérie)
230,Algérie,Aïn Douz ,,Aïn Douz (Algérie)
231,Tunisie,Aïn Draham ,,Aïn Draham (Tunisie)
232,Algérie,Aïn Dzarit ,,Aïn Dzarit (Algérie)
233,Algérie,Aïn El Affeurd ,,Aïn El Affeurd (Algérie)
234,Algérie,Aïn El Assel ,,Aïn El Assel (Algérie)
235,Algérie,Aïn El Berd ,,Aïn El Berd (Algérie)
236,Algérie,Aïn El Bey ,,Aïn El Bey (Algérie)
237,Algérie,Aïn El Bordj ,,Aïn El Bordj (Algérie)
238,Algérie,Aïn El Boucif,Commune mixte ,Aïn El BoucifCommune mixte (Algérie)
239,Algérie,Aïn El Bridj ,,Aïn El Bridj (Algérie)
240,Algérie,Aïn El Bya ,,Aïn El Bya (Algérie)
241,Algérie,Aïn El Hadid ,,Aïn El Hadid (Algérie)
242,Algérie,Aïn El Hadjar ,,Aïn El Hadjar (Algérie)
243,Algérie,Aïn El Hadjel ,,Aïn El Hadjel (Algérie)
244,Algérie,Aïn El Hammam ,,Aïn El Hammam (Algérie)
245,Algérie,Aïn El Hout ,,Aïn El Hout (Algérie)
246,Algérie,Aïn El Ibel ,,Aïn El Ibel (Algérie)
247,Algérie,Aïn El Khemis ,,Aïn El Khemis (Algérie)
248,Algérie,Aïn El Ksar ,,Aïn El Ksar (Algérie)
249,Algérie,Aïn El Ksar,Commune mixte ,Aïn El KsarCommune mixte (Algérie)
250,Algérie,Aïn El Melh ,,Aïn El Melh (Algérie)
251,Tunisie,Aïn El Morrah ,,Aïn El Morrah (Tunisie)
252,Algérie,Aïn El Turk ,,Aïn El Turk (Algérie)
253,Algérie,Aïn Embarka ,,Aïn Embarka (Algérie)
254,Algérie,Aïn Enchir Rayan ,,Aïn Enchir Rayan (Algérie)
255,Algérie,Aïn Fakroun ,,Aïn Fakroun (Algérie)
256,Algérie,Aïn Farès ,,Aïn Farès (Algérie)
257,Algérie,Aïn Fesguia ,,Aïn Fesguia (Algérie)
258,Algérie,Aïn Fezza ,,Aïn Fezza (Algérie)
259,Algérie,Aïn Fouka ,,Aïn Fouka (Algérie)
260,Algérie,Aïn Fourchi ,,Aïn Fourchi (Algérie)
261,Tchad,Aïn Galaka ,,Aïn Galaka (Tchad)
262,Algérie,Aïn Ghrour ,,Aïn Ghrour (Algérie)
263,Algérie,Aïn Gourmat ,,Aïn Gourmat (Algérie)
264,Algérie,Aïn Guerfa ,,Aïn Guerfa (Algérie)
265,Algérie,Aïn Guettar ,,Aïn Guettar (Algérie)
266,Algérie,Aïn Haddada ,,Aïn Haddada (Algérie)
267,Algérie,Aïn Hassainia ,,Aïn Hassainia (Algérie)
268,Algérie,Aïn Igni ,,Aïn Igni (Algérie)
269,Algérie,Aïn Kebira ,,Aïn Kebira (Algérie)
270,Algérie,Aïn Kebir ,,Aïn Kebir (Algérie)
271,Algérie,Aïn Kechera ,,Aïn Kechera (Algérie)
272,Algérie,Aïn Kercha ,,Aïn Kercha (Algérie)
273,Algérie,Aïn Kerma ,,Aïn Kerma (Algérie)
274,Algérie,Aïn Kermes ,,Aïn Kermes (Algérie)
275,Algérie,Aïn Kétone ,,Aïn Kétone (Algérie)
276,Algérie,Aïn Khalfoun ,,Aïn Khalfoun (Algérie)
277,Algérie,Aïn Khiar ,,Aïn Khiar (Algérie)
278,Algérie,Aïn Kial ,,Aïn Kial (Algérie)
279,Algérie,Aïn Kihal ,,Aïn Kihal (Algérie)
280,Algérie,Aïn Lahdjar ,,Aïn Lahdjar (Algérie)
281,Algérie,Aïn Lahma ,,Aïn Lahma (Algérie)
282,Algérie,Aïn Laloui ,,Aïn Laloui (Algérie)
283,Algérie,Aïn Lechiakh ,,Aïn Lechiakh (Algérie)
284,Algérie,Aïn Mader ,,Aïn Mader (Algérie)
285,Algérie,Aïn Mahdi ,,Aïn Mahdi (Algérie)
286,Algérie,Aïn Makhlouf ,,Aïn Makhlouf (Algérie)
287,Algérie,Aïn Malah ,,Aïn Malah (Algérie)
288,Algérie,Aïn Mazuella ,,Aïn Mazuella (Algérie)
289,Algérie,Aïn Melah ,,Aïn Melah (Algérie)
290,Algérie,Aïn Melouk ,,Aïn Melouk (Algérie)
291,Algérie,Aïn Merane ,,Aïn Merane (Algérie)
292,Algérie,Aïn Mimoun ,,Aïn Mimoun (Algérie)
293,Algérie,Aïn Mokra ,,Aïn Mokra (Algérie)
294,Algérie,Aïn Mokra,Commune mixte ,Aïn MokraCommune mixte (Algérie)
295,Algérie,Aïn Mouder ,,Aïn Mouder (Algérie)
296,Algérie,Aïn M\'Lila ,,Aïn M\Lila (Algérie)
297,Algérie,Aïn M\'Lila,Arrondissement ,Aïn M\LilaArrondissement (Algérie)
298,Algérie,Aïn M\'Lila,Commune mixte ,Aïn M\LilaCommune mixte (Algérie)
299,Algérie,Aïn Naga ,,Aïn Naga (Algérie)
300,Algérie,Aïn Nechma ,,Aïn Nechma (Algérie)
301,Algérie,Aïn Nouissy ,,Aïn Nouissy (Algérie)
302,Algérie,Aïn N\'Sara ,,Aïn N\Sara (Algérie)
303,Algérie,Aïn Oulmene ,,Aïn Oulmene (Algérie)
304,Algérie,Aïn Oumata ,,Aïn Oumata (Algérie)
305,Algérie,Aïn Oum El Alleug ,,Aïn Oum El Alleug (Algérie)
306,Algérie,Aïn Oussara ,,Aïn Oussara (Algérie)
307,Algérie,Aïn Regada ,,Aïn Regada (Algérie)
308,Algérie,Aïn Rhoul ,,Aïn Rhoul (Algérie)
309,Algérie,Aïn Rich ,,Aïn Rich (Algérie)
310,Algérie,Aïn Rihana ,,Aïn Rihana (Algérie)
311,Algérie,Aïn Romana ,,Aïn Romana (Algérie)
312,Algérie,Aïn Roua ,,Aïn Roua (Algérie)
313,Algérie,Aïn Sabra ,,Aïn Sabra (Algérie)
314,Algérie,Aïn Sefia ,,Aïn Sefia (Algérie)
315,Algérie,Aïn Sefra ,,Aïn Sefra (Algérie)
316,Algérie,Aïn Sefra,Arrondissement ,Aïn SefraArrondissement (Algérie)
317,Algérie,Aïn Sefra,Cercle ,Aïn SefraCercle (Algérie)
318,Algérie,Aïn Sefra,Cours d\'eau ,Aïn SefraCours d\eau (Algérie)
319,Algérie,Aïn Sefra,Subdivision ,Aïn SefraSubdivision (Algérie)
320,Algérie,Aïn Sefra,Territoire ,Aïn SefraTerritoire (Algérie)
321,Algérie,Aïn Seynour ,,Aïn Seynour (Algérie)
322,Algérie,Aïn Sfia ,,Aïn Sfia (Algérie)
323,Algérie,Aïn Sidi Cherif ,,Aïn Sidi Cherif (Algérie)
324,Algérie,Aïn Skhouna ,,Aïn Skhouna (Algérie)
325,Algérie,Aïn Smara ,,Aïn Smara (Algérie)
326,Algérie,Aïn Snob ,,Aïn Snob (Algérie)
327,Algérie,Aïn Soltan ,,Aïn Soltan (Algérie)
328,Algérie,Aïn Souda ,,Aïn Souda (Algérie)
329,Alger ; Algérie,Aïn Sultan ,,Aïn Sultan (Alger ; Algérie)
330,Constantine ; Algérie,Aïn Sultan ,,Aïn Sultan (Constantine ; Algérie)
331,Algérie,Aïn Tabia ,,Aïn Tabia (Algérie)
332,Algérie,Aïn Tagourait ,,Aïn Tagourait (Algérie)
333,Algérie,Aïn Tagoureit ,,Aïn Tagoureit (Algérie)
334,Algérie,Aïn Tagrout ,,Aïn Tagrout (Algérie)
335,Algérie,Aïn Tahamimine ,,Aïn Tahamimine (Algérie)
336,Algérie,Aïn Taya ,,Aïn Taya (Algérie)
337,Algérie,Aïn Tebinet ,,Aïn Tebinet (Algérie)
338,Algérie,Aïn Tédélès ,,Aïn Tédélès (Algérie)
339,Algérie,Aïn Temouchent ,,Aïn Temouchent (Algérie)
340,Algérie,Aïn Temouchent,Annexe ,Aïn TemouchentAnnexe (Algérie)
341,Algérie,Aïn Temouchent,Arrondissement ,Aïn TemouchentArrondissement (Algérie)
342,Algérie,Aïn Tinn ,,Aïn Tinn (Algérie)
343,Algérie,AÏn Tittest ,,AÏn Tittest (Algérie)
344,Algérie,Aïn Tiziret ,,Aïn Tiziret (Algérie)
345,Algérie,Aïn Tletat ,,Aïn Tletat (Algérie)
346,Algérie,Aïn Toudmann ,,Aïn Toudmann (Algérie)
347,Algérie,Aïn Touta ,,Aïn Touta (Algérie)
348,Algérie,Aïn Touta,Commune mixte ,Aïn ToutaCommune mixte (Algérie)
349,Algérie,Aïn Trab ,,Aïn Trab (Algérie)
350,Algérie,Aïn Trid ,,Aïn Trid (Algérie)
351,Algérie,Aïn Trik ,,Aïn Trik (Algérie)
352,Algérie,Aïn Tsarès ,,Aïn Tsarès (Algérie)
353,Algérie,Aïn Turc ,,Aïn Turc (Algérie)
354,Algérie,Aïn Turki ,,Aïn Turki (Algérie)
355,Algérie,Aïn Yagout ,,Aïn Yagout (Algérie)
356,Algérie,Aïn Youcef ,,Aïn Youcef (Algérie)
357,Algérie,Aïn Zada ,,Aïn Zada (Algérie)
358,Algérie,Aïn Zana ,,Aïn Zana (Algérie)
359,Algérie,Aïn Zaouïa ,,Aïn Zaouïa (Algérie)
360,Algérie,Aïn Zatout ,,Aïn Zatout (Algérie)
361,Algérie,Aïn Zebda ,,Aïn Zebda (Algérie)
362,El Biar ; Algérie,Aïn Zeboudja,Quartier ,Aïn ZeboudjaQuartier (El Biar ; Algérie)
363,Algérie,Aïn Zitoun ,,Aïn Zitoun (Algérie)
364,Algérie,Aïn Zouit ,,Aïn Zouit (Algérie)
365,France,Ain,Département ,AinDépartement (France)
366,Algérie,Aïoun El Adjaïz ,,Aïoun El Adjaïz (Algérie)
367,Mauritanie,Aïoun El Atrouss ,,Aïoun El Atrouss (Mauritanie)
368,Algérie,Aïoun El Hadjiz ,,Aïoun El Hadjiz (Algérie)
369,Alger ; Algérie,Air-de-France,Quartier ,Air-de-FranceQuartier (Alger ; Algérie)
370,Somme ; France,Airaines ,,Airaines (Somme ; France)
371,Pas-de-Calais ; France,Aire-sur-la-Lys ,,Aire-sur-la-Lys (Pas-de-Calais ; France)
372,Landes ; France,Aire-sur-l\'Adour ,,Aire-sur-l\Adour (Landes ; France)
373,Pas-de-Calais ; France,Aire en Artois ,,Aire en Artois (Pas-de-Calais ; France)
374,Ardennes ; France,Aire ,,Aire (Ardennes ; France)
375,Landes ; France,Aire ,,Aire (Landes ; France)
376,Niger,Aïr,Massif de l\' ,AïrMassif de l\ (Niger)
377,France,Aisne,Département ,AisneDépartement (France)
378,Yonne ; France,Aisy-sur-Armançon ,,Aisy-sur-Armançon (Yonne ; France)
379,Algérie,Aït Aïcha ,,Aït Aïcha (Algérie)
380,Algérie,Aït Ali Ouharzoune ,,Aït Ali Ouharzoune (Algérie)
381,Algérie,Aït Ameur ,,Aït Ameur (Algérie)
382,Algérie,Aït Bouhini ,,Aït Bouhini (Algérie)
383,Algérie,Aït Bou Adda ,,Aït Bou Adda (Algérie)
384,Algérie,Aït Braham ,,Aït Braham (Algérie)
385,Algérie,Aït Chaffa ,,Aït Chaffa (Algérie)
386,Algérie,Aït Daoud ,,Aït Daoud (Algérie)
387,Algérie,Aït Hichem ,,Aït Hichem (Algérie)
388,Algérie,Aït Ikhelef ,,Aït Ikhelef (Algérie)
